ktrans,ve,vp,fp,slice,b1,t10,ps,tp
0.05,0.2,0.009259259,0.5,1,100,1000,0.055555556,0.999999972
0.1,0.2,0.010416667,0.5,1,100,1000,0.125,1.000000032
0.2,0.2,0.013888889,0.5,1,100,1000,0.333333333,1.000000008
0.35,0.2,0.027777778,0.5,1,100,1000,1.166666667,1.000000008
0.05,0.3,0.009259259,0.5,1,100,1000,0.055555556,1
0.1,0.3,0.010416667,0.5,1,100,1000,0.125,1
0.2,0.3,0.013888889,0.5,1,100,1000,0.333333333,1
0.35,0.3,0.027777778,0.5,1,100,1000,1.166666667,1
0.05,0.4,0.009259259,0.5,1,100,1000,0.055555556,1
0.1,0.4,0.010416667,0.5,1,100,1000,0.125,1
0.2,0.4,0.013888889,0.5,1,100,1000,0.333333333,1
0.35,0.4,0.027777778,0.5,1,100,1000,1.166666667,1
0.05,0.2,0.01754386,1,1,100,1000,0.052631579,1
0.1,0.2,0.018518519,1,1,100,1000,0.111111111,1
0.2,0.2,0.020833333,1,1,100,1000,0.25,1
0.35,0.2,0.025641026,1,1,100,1000,0.538461538,1
0.05,0.3,0.01754386,1,1,100,1000,0.052631579,1
0.1,0.3,0.018518519,1,1,100,1000,0.111111111,1
0.2,0.3,0.020833333,1,1,100,1000,0.25,1
0.35,0.3,0.025641026,1,1,100,1000,0.538461538,1
0.05,0.4,0.01754386,1,1,100,1000,0.052631579,1
0.1,0.4,0.018518519,1,1,100,1000,0.111111111,1
0.2,0.4,0.020833333,1,1,100,1000,0.25,1
0.35,0.4,0.025641026,1,1,100,1000,0.538461538,1
0.05,0.2,0.034188034,2,1,100,1000,0.051282051,1
0.1,0.2,0.035087719,2,1,100,1000,0.105263158,1
0.2,0.2,0.037037037,2,1,100,1000,0.222222222,1
0.35,0.2,0.04040404,2,1,100,1000,0.424242424,1
0.05,0.3,0.034188034,2,1,100,1000,0.051282051,1
0.1,0.3,0.035087719,2,1,100,1000,0.105263158,1
0.2,0.3,0.037037037,2,1,100,1000,0.222222222,1
0.35,0.3,0.04040404,2,1,100,1000,0.424242424,1
0.05,0.4,0.034188034,2,1,100,1000,0.051282051,1
0.1,0.4,0.035087719,2,1,100,1000,0.105263158,1
0.2,0.4,0.037037037,2,1,100,1000,0.222222222,1
0.35,0.4,0.04040404,2,1,100,1000,0.424242424,1
0.05,0.2,0.027777778,0.5,2,100,1000,0.055555556,3
0.1,0.2,0.03125,0.5,2,100,1000,0.125,3
0.2,0.2,0.041666667,0.5,2,100,1000,0.333333333,3
0.35,0.2,0.083333333,0.5,2,100,1000,1.166666667,3
0.05,0.3,0.027777778,0.5,2,100,1000,0.055555556,3
