ktrans,vp,slice,b1,t10
0.01,0.001,1,100,1000
0.02,0.001,1,100,1000
0.05,0.001,1,100,1000
0.1,0.001,1,100,1000
0.2,0.001,1,100,1000
0.35,0.001,1,100,1000
0.01,0.005,1,100,1000
0.02,0.005,1,100,1000
0.05,0.005,1,100,1000
0.1,0.005,1,100,1000
0.2,0.005,1,100,1000
0.35,0.005,1,100,1000
0.01,0.01,1,100,1000
0.02,0.01,1,100,1000
0.05,0.01,1,100,1000
0.1,0.01,1,100,1000
0.2,0.01,1,100,1000
0.35,0.01,1,100,1000
0.01,0.02,1,100,1000
0.02,0.02,1,100,1000
0.05,0.02,1,100,1000
0.1,0.02,1,100,1000
0.2,0.02,1,100,1000
0.35,0.02,1,100,1000
0.01,0.05,1,100,1000
0.02,0.05,1,100,1000
0.05,0.05,1,100,1000
0.1,0.05,1,100,1000
0.2,0.05,1,100,1000
0.35,0.05,1,100,1000
0.01,0.1,1,100,1000
0.02,0.1,1,100,1000
0.05,0.1,1,100,1000
0.1,0.1,1,100,1000
0.2,0.1,1,100,1000
0.35,0.1,1,100,1000
0.01,0.001,2,100,800
0.02,0.001,2,100,800
0.05,0.001,2,110,1000
0.1,0.001,2,90,1000
0.2,0.001,2,110,800
0.35,0.001,2,90,800
0.01,0.005,2,100,800
0.02,0.005,2,100,800
0.05,0.005,2,110,1000
0.1,0.005,2,90,1000
0.2,0.005,2,110,800
0.35,0.005,2,90,800
0.01,0.01,2,100,800
0.02,0.01,2,100,800
0.05,0.01,2,110,1000
0.1,0.01,2,90,1000
0.2,0.01,2,110,800
0.35,0.01,2,90,800
0.01,0.02,2,100,800
0.02,0.02,2,100,800
0.05,0.02,2,110,1000
0.1,0.02,2,90,1000
0.2,0.02,2,110,800
0.35,0.02,2,90,800
0.01,0.05,2,100,800
0.02,0.05,2,100,800
0.05,0.05,2,110,1000
0.1,0.05,2,90,1000
0.2,0.05,2,110,800
0.35,0.05,2,90,800
0.01,0.1,2,100,800
0.02,0.1,2,100,800
0.05,0.1,2,110,1000
0.1,0.1,2,90,1000
0.2,0.1,2,110,800
0.35,0.1,2,90,800
