ktrans,ve,slice,b1,t10,kep
0.01,0.05,1,100,1000,0.2
0.02,0.05,1,100,1000,0.4
0.05,0.05,1,100,1000,1
0.1,0.05,1,100,1000,2
0.2,0.05,1,100,1000,4
0.35,0.05,1,100,1000,7
0.01,0.1,1,100,1000,0.1
0.02,0.1,1,100,1000,0.2
0.05,0.1,1,100,1000,0.5
0.1,0.1,1,100,1000,1
0.2,0.1,1,100,1000,2
0.35,0.1,1,100,1000,3.5
0.01,0.2,1,100,1000,0.05
0.02,0.2,1,100,1000,0.1
0.05,0.2,1,100,1000,0.25
0.1,0.2,1,100,1000,0.5
0.2,0.2,1,100,1000,1
0.35,0.2,1,100,1000,1.75
0.01,0.5,1,100,1000,0.02
0.02,0.5,1,100,1000,0.04
0.05,0.5,1,100,1000,0.1
0.1,0.5,1,100,1000,0.2
0.2,0.5,1,100,1000,0.4
0.35,0.5,1,100,1000,0.7
0.01,0.05,2,100,800,0.2
0.02,0.05,2,100,800,0.4
0.05,0.05,2,110,1000,1
0.1,0.05,2,90,1000,2
0.2,0.05,2,110,800,4
0.35,0.05,2,90,800,7
0.01,0.1,2,100,800,0.1
0.02,0.1,2,100,800,0.2
0.05,0.1,2,110,1000,0.5
0.1,0.1,2,90,1000,1
0.2,0.1,2,110,800,2
0.35,0.1,2,90,800,3.5
0.01,0.2,2,100,800,0.05
0.02,0.2,2,100,800,0.1
0.05,0.2,2,110,1000,0.25
0.1,0.2,2,90,1000,0.5
0.2,0.2,2,110,800,1
0.35,0.2,2,90,800,1.75
0.01,0.5,2,100,800,0.02
0.02,0.5,2,100,800,0.04
0.05,0.5,2,110,1000,0.1
0.1,0.5,2,90,1000,0.2
0.2,0.5,2,110,800,0.4
0.35,0.5,2,90,800,0.7
