ktrans,ps,vp,slice,b1,t10,tp,fp
0.05,0.055555556,0.009259259,1,100,1000,1,0.5
0.1,0.125,0.010416667,1,100,1000,1,0.5
0.2,0.333333333,0.013888889,1,100,1000,1,0.5
0.35,1.166666667,0.027777778,1,100,1000,1,0.5
0.05,0.055555556,0.027777778,1,100,1000,3,0.5
0.1,0.125,0.03125,1,100,1000,3,0.5
0.2,0.333333333,0.041666667,1,100,1000,3,0.5
0.35,1.166666667,0.083333333,1,100,1000,3,0.5
0.05,0.055555556,0.046296296,1,100,1000,5,0.5
0.1,0.125,0.052083333,1,100,1000,5,0.5
0.2,0.333333333,0.069444444,1,100,1000,5,0.5
0.35,1.166666667,0.138888889,1,100,1000,5,0.5
0.05,0.052631579,0.01754386,1,100,1000,1,1
0.1,0.111111111,0.018518519,1,100,1000,1,1
0.2,0.25,0.020833333,1,100,1000,1,1
0.35,0.538461538,0.025641026,1,100,1000,1,1
0.05,0.052631579,0.052631579,1,100,1000,3,1
0.1,0.111111111,0.055555556,1,100,1000,3,1
0.2,0.25,0.0625,1,100,1000,3,1
0.35,0.538461538,0.076923077,1,100,1000,3,1
0.05,0.052631579,0.087719298,1,100,1000,5,1
0.1,0.111111111,0.092592593,1,100,1000,5,1
0.2,0.25,0.104166667,1,100,1000,5,1
0.35,0.538461538,0.128205128,1,100,1000,5,1
0.05,0.051282051,0.034188034,1,100,1000,1,2
0.1,0.105263158,0.035087719,1,100,1000,1,2
0.2,0.222222222,0.037037037,1,100,1000,1,2
0.35,0.424242424,0.04040404,1,100,1000,1,2
0.05,0.051282051,0.102564103,1,100,1000,3,2
0.1,0.105263158,0.105263158,1,100,1000,3,2
0.2,0.222222222,0.111111111,1,100,1000,3,2
0.35,0.424242424,0.121212121,1,100,1000,3,2
0.05,0.051282051,0.170940171,1,100,1000,5,2
0.1,0.105263158,0.175438596,1,100,1000,5,2
0.2,0.222222222,0.185185185,1,100,1000,5,2
0.35,0.424242424,0.202020202,1,100,1000,5,2
0.05,0.055555556,0.009259259,2,100,800,1,0.5
0.1,0.125,0.010416667,2,110,1000,1,0.5
0.2,0.333333333,0.013888889,2,90,1000,1,0.5
0.35,1.166666667,0.027777778,2,110,800,1,0.5
0.05,0.055555556,0.027777778,2,100,800,3,0.5
0.1,0.125,0.03125,2,110,1000,3,0.5
0.2,0.333333333,0.041666667,2,90,1000,3,0.5
0.35,1.166666667,0.083333333,2,110,800,3,0.5
0.05,0.055555556,0.046296296,2,100,800,5,0.5
0.1,0.125,0.052083333,2,110,1000,5,0.5
0.2,0.333333333,0.069444444,2,90,1000,5,0.5
0.35,1.166666667,0.138888889,2,110,800,5,0.5
0.05,0.052631579,0.01754386,2,100,800,1,1
0.1,0.111111111,0.018518519,2,110,1000,1,1
0.2,0.25,0.020833333,2,90,1000,1,1
0.35,0.538461538,0.025641026,2,110,800,1,1
0.05,0.052631579,0.052631579,2,100,800,3,1
0.1,0.111111111,0.055555556,2,110,1000,3,1
0.2,0.25,0.0625,2,90,1000,3,1
0.35,0.538461538,0.076923077,2,110,800,3,1
0.05,0.052631579,0.087719298,2,100,800,5,1
0.1,0.111111111,0.092592593,2,110,1000,5,1
0.2,0.25,0.104166667,2,90,1000,5,1
0.35,0.538461538,0.128205128,2,110,800,5,1
0.05,0.051282051,0.034188034,2,100,800,1,2
0.1,0.105263158,0.035087719,2,110,1000,1,2
0.2,0.222222222,0.037037037,2,90,1000,1,2
0.35,0.424242424,0.04040404,2,110,800,1,2
0.05,0.051282051,0.102564103,2,100,800,3,2
0.1,0.105263158,0.105263158,2,110,1000,3,2
0.2,0.222222222,0.111111111,2,90,1000,3,2
0.35,0.424242424,0.121212121,2,110,800,3,2
0.05,0.051282051,0.170940171,2,100,800,5,2
0.1,0.105263158,0.175438596,2,110,1000,5,2
0.2,0.222222222,0.185185185,2,90,1000,5,2
0.35,0.424242424,0.202020202,2,110,800,5,2
